"11bff756-f184-4cb8-b3f9-26968b1f505a","Process",0.5,"Non-Hazardous","Sold to Registered Recycler"
"8c718366-fedf-49de-9ab1-680892b2c3b2","NIL",0,"Non-Hazardous","Other"
"c768fa10-88ad-4ac2-9679-ba48e8e4e870","Machinery",10,"Non-Hazardous","Sold to Registered Recycler"
"ddeab526-dc3f-4433-8f18-d459bad1306f","KITCHEN",0.5,"Non-Hazardous","Sold to Registered Recycler"
"2e2b8a39-b888-4434-886e-420c0e9c1ad1","Not applicable",0,"Non-Hazardous","Other"
"c8107a88-7b3f-419e-99dd-fd9d60598afe","NOT APPLICABLE",0,"Non-Hazardous","Other"
"2aa459e7-2850-4255-87d5-d74b625da076","Production line",1,"Non-Hazardous","Other"
"58e744a1-3cab-4edb-95b2-d32d71debe32","Factory",0,"Non-Hazardous","Other"
"3a53f182-432b-4c22-8fbb-2b98c1248f66","NOT APPLICABLE",0,"Non-Hazardous","Other"
"29030d21-a60e-48cb-9fbe-6f992194e9e3","Water",36000,"Non-Hazardous","On To Land for filling"
"936e3faa-1b0e-4b2b-89aa-fec2a8320ad8","Scrap",0.1,"Non-Hazardous","Other"
"3fd9de1a-fd91-47a3-bc67-d292b71fdfab","Production",0.1,"Non-Hazardous","Sold to Registered Recycler"
"3fbd5460-6fb4-4b19-9af2-2f22158e1324","NIL",0,"Non-Hazardous","Other"
"3571a8fe-5626-4d36-bd84-31c7c07c5e8a",1000,0.1,"Non-Hazardous","On To Land for filling"
"16d6d27c-034a-4f78-8a01-e93217ced673","electricity",2,"Non-Hazardous","Other"
"fbb88ef0-fc4c-4a0f-8d99-bd7c9852f43e","Led",0.5,"Non-Hazardous","Other"
"de751d16-b5f7-48f6-88d1-135a6fcb90ea",100,1,"Non-Hazardous","On To Land for filling"
"b39d3678-f638-4dc3-b0b2-94267cd2f248","SCRAP",1,"Non-Hazardous","Other"
"66697d20-be6b-4d81-9e82-eaaf17d9abc4",0,0,"Hazardous","Sold to Registered Recycler"
"9a5bd58f-cf67-4f92-b937-490fa1452015","NOT APPLICABLE",0,"Non-Hazardous","Sold to Registered Recycler"
"8e77adf4-1f32-4984-b064-36d465133fbb","N.A",0,"Non-Hazardous","Other"
"5769d826-cc46-4dc8-b337-8c4c6c9153ee","NORMAL SEWRAGE EFFLUENT DISCHARGE, COTTON CLOTH WITH INK RESIDUE",0.4,"Non-Hazardous","Other"
"630b60d7-afa7-463f-b6d5-ebe52590e78b","Production",0.1,"Non-Hazardous","Sold to Registered Recycler"
"7705422c-fb76-4cd6-bb6e-45beaf6f087c","Production",0.1,"Non-Hazardous","Sold to Registered Recycler"
