"a7426e80-443d-4edb-a48c-c9973ab63003",,,0,0,"Highly Technical",,"Expansion Project","Other Industries","Medium - more than 5 crores and less than 10 crores",,,"Electrical Industry"
"24d84cc1-4f4a-4598-8862-48ab2bc7e0bd","Manufacturing",,0,0,"None of these",,"New Project (New Site)","Auto, Auto Components and Light Engineering","Large - more than 10 crores",,,
"722b6e83-9cda-4da9-8f10-507751dea1c2","Manufacturing",,0,0,"None of these",,"New Project (New Site)","Auto, Auto Components and Light Engineering","Large - more than 10 crores",,,
"c949edd4-2055-4e48-916f-1a351a77c6f5",,,1,0,"None of these",,"New Project (New Site)","Other Industries","Large - more than 10 crores",,,"Real Estate Developer"
"81e3df26-3497-4ffe-a403-88401fe6ab7b","Dall Mill",,0,0,"None of these",,"New Project (New Site)","Agro-based, Food Processing and Allied Industry","Medium - more than 5 crores and less than 10 crores",,,
"809d2273-318d-47e6-99dc-15dd1c8b3f13",,,0,0,"None of these",,"Expansion Project","Textiles/ Apparel/ Knitting/ Embroidery/ Technical textiles","Medium - more than 5 crores and less than 10 crores",,,
"1120ed98-abe0-4680-9100-ec1a8b2fc6b1","Opening a MBA Institute",,0,0,"None of these",,"New Project (New Site)","Other Industries","Large - more than 10 crores",,,"Education"
"90f930f4-03ac-4824-8459-a9196b799f1a",,13454,0,0,"Highly Technical",,"New Project (New Site)","Other Industries","Small - more than 25 lakhs and less �than or upto 5 crores",,,"PACKAGING MACHINE"
"40887f0a-82ea-4470-be94-316210ee2dcb","MFG. OF RUBBER PRODUCTS",,0,0,"None of these",,"New Project (New Site)","Other Industries","Small - more than 25 lakhs and less �than or upto 5 crores",,,"RUBBER PRODUCTS"
"e5b8ed73-0a6a-440b-b486-dbfc050a835d",,68,0,0,"None of these",,"New Project (Existing Site)","Other Industries","Large - more than 10 crores",,,"Real Estate"
"8bacd288-7818-4a21-95cc-98bf72f0f775","IRRIGATION BASED INDUSTRY",,0,0,"None of these",,"New Project (New Site)","Other Industries","Small - more than 25 lakhs and less �than or upto 5 crores",,,"HDPE PIPES AND COILS"
"86e3d922-a513-41ce-889d-77cea73c0d41","2 MW BIOMASS GASIFIER POWER PLANT",35106,0,0,"Highly Technical",,"New Project (New Site)","Renewable Energy & Solar Parks","Large - more than 10 crores",,,
"8f978ad0-c679-451e-8370-d2115bfbabbe","EXPENSION",,0,0,"Involving Technical Collaboration with Foreign Investor","Japan","Expansion Project","Auto, Auto Components and Light Engineering","Medium - more than 5 crores and less than 10 crores",,,
"e142e0a1-fbf2-4171-92d2-223ac6ab854d",,,0,0,"Involving Technical Collaboration with Foreign Investor",,"New Project (New Site)","Other Industries","Large - more than 10 crores",,,"Healthcare and Education"
"3b5d2e2d-6fb4-47f1-9022-21611c51b2fa","Manufacturing",20116,0,1,"None of these",,"New Project (New Site)","Chemical Industry","Small - more than 25 lakhs and less �than or upto 5 crores",,,
"786ab534-9953-4e73-a8a8-8a2e9449ba17","Skill Development Centre in Catering",,0,0,"None of these",,"New Project (Existing Site)","Other Industries","Large - more than 10 crores",,,"CATERING"
"e81e797f-4b24-4c5f-a5a9-9cdf4fe108a4",,,0,0,"None of these",,"New Project (New Site)","Other Industries","Micro - upto 25 lakhs",,,"Washing Centre"
"b1690776-16fa-494c-b808-df5b95f6a769","warehousing cold storage",,0,0,"None of these",,"New Project (New Site)","Other Industries","Small - more than 25 lakhs and less �than or upto 5 crores",,,"service industry"
"9376429c-d55b-40cb-9cf7-fd4b6dd1e1a5",,,1,1,"Highly Technical",,"Expansion Project","Defence and Aerospace Manufacturing","Large - more than 10 crores",,,
