"8c0b075c-f16e-47c1-bfd9-18e9e24b3383",0,0,0.2,0,0.2,0,,,,"Not Applicable",7
"c30b6a61-77b6-44f1-bb30-6d3e9aa1fe34",2800000,8000000,18000000,2000000,28800000,0,,,,"Not Applicable",80
"01a9b977-0942-4274-92c5-b0cd5b5ab543",0,0.01,0.16,0.08,0.17,0,,,,"Not Applicable",24
"3e09af90-15c6-4792-a79a-7fb7d8e54a4e",0.03,0.08,2,1.3,2.11,0,,,,"Not Applicable",90
"5d0b17fc-9e7c-4bc8-aba7-8fd7113cae6f",0.35,0.8,0.29,0.7,1.44,0,,,,"Not Applicable",10
"78670515-1a1b-4882-a638-c2d3eaf50de6",0.67,1.01,2.61,1.51,4.29,0,,,,"Not Applicable",50
"de3ac932-93c9-4243-ade1-4dfe14e356eb",1,2.5,5.5,0.5,9,0,,,,"Not Applicable",75
"b8f4bee5-26af-468c-94c2-99bcc7e3476c",0.2,0.1,0.08,0.02,0.38,0,,,,"Not Applicable",7
"0093b034-ea77-4cab-a75b-c605c8de2b42",0,1,0.54,0,1.54,0,,,,"Not Applicable",24
"7579f8e0-7053-4a04-ad6f-6314a9924d1a",0.13,2.03,1.74,0.18,3.9,0,,,,"Not Applicable",30
"7b9d8c13-180b-4eaf-adf8-135fff36ebb1",0.05,0.05,0.2,0.03,0.3,0,,,,"Not Applicable",10
"ecec5699-af4b-44de-9018-44417f960e37",0,0,400000,100000,400000,0,,,,"Not Applicable",4
"408b92d8-daef-420a-9be4-75352e029688",2.14,19,16,2,37.14,0,,,,"Not Applicable",240
"54386fba-877b-4073-bd91-eb8ae075337e",0,0,0.04,0.01,0.04,0,,,,"Not Applicable",4
"35a7e523-99c6-4a8b-b4ee-10d676edde1a",0.18,0,0.05,0,0.23,0,,,,"Not Applicable",0
"6ee811ba-abfa-4e90-b4f3-98d000dbe1a7",12.12,12.12,12.12,12.12,36.36,0,,,,"Not Applicable",10
"465047d9-463a-4227-be40-a4a727c0590d",0.13,0.05,0.02,0.01,0.2,0,,,,"Not Applicable",5
