"1d29412d-a4f6-4380-9081-dbf8899959f4",125,"DG Set","Other - Disel","Scrubber"
"e1fd49ba-fcb8-4e4c-bc4c-b86e2cc91d06",0,"Not Applicable","NA","NA"
"8cb5bb83-988c-4c33-ac70-6460bae11952",0,"Not Applicable","NA","NA"
"2b5cf501-702c-4394-8cb4-0e7dd09d7835",15,"Boiler","Rice Husk","Adequate Stack Height Only"
"25268ba4-ec91-401d-ae28-73141eb179e6",0,"Not Applicable","NA","NA"
"9aaa6df0-a124-4ffd-8c83-e0754f40c62e",200,"DG Set","Electricity","Multi-Cyclone Separator"
"9ef5194d-ec92-43be-8847-623cc0ada267",0,"Not Applicable","NA","NA"
"e35c6425-4f06-43c2-ab6e-aac7173c154a",25,"DG Set","Other - disel","Gravity Dust Settling Chamber"
"da93e368-dc90-430b-b93f-7943e8a156bd",1000,"DG Set","HSD","Trima Cyclone"
"7da6520a-5a38-426f-a144-ca762b675f15",0,"Not Applicable","NA","NA"
"64c8743d-e4ce-4138-8d6b-9535ece54ce5",0,"Not Applicable","NA","NA"
"d4e07652-af38-4c0f-8852-9d2694cd21b5",1,"DG Set","HSD","Scrubber"
"4d7940e1-6037-4a5b-b0c8-80f02f668665",50,"DG Set","Electricity","Adequate Stack Height Only"
"dced33b0-1489-4f39-8eb8-aef42d017220",3,"Boiler","Other - wood","Multi-Cyclone Separator"
"05125737-dddd-4130-863c-a57e44f96b48",350,"DG Set","HSD","Adequate Stack Height Only"
"735c18ac-cae9-4e6b-a39d-46fca5673157",3000,"DG Set","HSD","Adequate Stack Height Only"
"30e4b03d-e865-4a91-a3cd-bb0f1722e2be",20,"DG Set","HSD","ESP(ElectroStatic Presipretator)"
"c83c3c48-f83c-4657-9272-8fc9a94a26e2",0,"Not Applicable","NA","NA"
"404de109-f45e-44e4-8ef7-990770b741ef",0,"Not Applicable","NA","NA"
"9b8c37df-41f5-4ced-8fce-38bd2d206715",0,"Not Applicable","NA","NA"
"d92da3ef-8591-45a7-823e-58f1e7e8bdfc",20,"DG Set","Electricity","ESP(ElectroStatic Presipretator)"
"452b97ec-3e69-4e00-9336-5bfe1218a836",0,"Not Applicable","NA","NA"
"88550760-f335-44ca-bb73-c743e9fefcd5",125,"DG Set","HSD","Adequate Stack Height Only"
"12b020c0-512b-494a-a6f1-9a08bebabb9a",0,"Not Applicable","NA","NA"
"a2b9b7c7-b6f0-4083-9b6b-380d65b6501e",0,"Not Applicable","NA","NA"
"91161b58-9c59-49fd-9de2-3e14415a2ba0",70,"DG Set","HSD","Adequate Stack Height Only"
"554ef77a-0d84-4aeb-8519-a2b124576477",20,"Boiler","Coal","Trima Cyclone"
"29d2d4a8-ba92-42f6-8aa5-974f8c943783",0,"Not Applicable","NA","NA"
"372c5f1a-15ca-4652-b660-e7e9a4440ca6",250,"DG Set","HSD","Adequate Stack Height Only"
"7587272f-53a0-4172-9941-ff028453e34f",0,"Not Applicable","NA","NA"
"27ca2965-84b1-4671-92e0-2ed9d864f486",80,"DG Set","HSD","Gravity Dust Settling Chamber"
"3c6f6101-4d7b-4c1f-8442-6efc63d78391",0,"Not Applicable","NA","NA"
"8b0a354b-b101-4027-a484-a82bbd237a04",0.5,"Furnace","Pet Coke","Cyclone Separator"
"39c59626-de2c-487f-895e-ab793a23c7ef",0,"Not Applicable","NA","NA"
"a4c733a8-4b47-4d8c-843e-726b77a1e8b8",5,"DG Set","Electricity","Scrubber"
"25a7625d-fc4b-47d2-919e-8c2875412446",500,"DG Set","HSD","Scrubber"
"7839bf82-4d24-4102-8450-005166d67f7a",2,"Process Emission","Electricity","Cyclone Separator"
"5a8dab01-9605-43ee-a44f-d0210a0b7440",0,"Not Applicable","NA","NA"
"3c4c0ee0-963a-4db2-b7c7-a50df00e107a",0,"Not Applicable","NA","NA"
"d59c0e6f-9e44-4608-b23f-e70be815d082",0,"Not Applicable","NA","NA"
"fe6acec2-956f-4d5c-a17b-760f0a37feb6",82.5,"DG Set","Electricity","Bag Filters"
"8e19e5a7-58a6-400d-a7b2-03ebda962ef0",0.01,"Process Emission","Coal","Gravity Dust Settling Chamber"
"948d1681-6fb9-4f53-a821-f5bae34712a5",2,"Boiler","Other - Agrowaste/ Wood","Cyclone Separator"
"27079786-e56d-4743-a6b9-15e54a9b1623",125,"DG Set","HSD","Adequate Stack Height Only"
"bcb207f9-865a-4de3-8be6-b02e19eec353",0.15,"Furnace","Coal","Bag Filters"
"d6b3d4e0-293f-40d0-b1ae-7654e8194886",100,"DG Set","HSD","Adequate Stack Height Only"
"04cb6e8c-0bfc-4257-a05a-4eee4064b707",0,"Not Applicable","NA","NA"
"41d137f7-2ded-441a-bf9e-54a02b988c65",100,"Boiler","Electricity","Multi-Cyclone Separator"
"0597917f-23f2-4790-b3e9-b4de338f4a00",70,"DG Set","HSD","Adequate Stack Height Only"
"5616df58-0283-4878-9e45-88cd52000fae",50,"DG Set","HSD","Cyclone Separator"
"d80d244b-8503-444c-b025-6d3fd9300fad",0.01,"DG Set","HSD","Adequate Stack Height Only"
"d9bf07c3-d4ae-44c3-9e8c-c73ea0f2cf49",3240,"DG Set","HSD","Adequate Stack Height Only"
"33819e2b-5142-43aa-a5d7-c1585044bcad",50,"DG Set","Electricity","Cyclone Separator"
"fa0c7b96-130d-43d3-9db3-76f6c070127b",0,"Not Applicable","NA","NA"
"2c702962-18a5-4c5d-bf43-25314b0cc3a2",82.5,"DG Set","HSD","Cyclone Separator"
"ba70d336-ebf1-491f-a0ba-8833896731e5",82.5,"DG Set","HSD","Cyclone Separator"
"f9dfe2dc-a13f-4296-a617-0a1a02c1076e",0,"Not Applicable","NA","NA"
"ecf9a7e7-8441-4da5-9b97-7308958646cc",1,"DG Set","Electricity","ESP(ElectroStatic Presipretator)"
"6c46a5b4-6c5c-48a5-86ad-27cb5bf8b2c1",0,"Not Applicable","NA","NA"
"bd883c48-ad92-4fd3-814c-38be9828ae6a",0,"Not Applicable","NA","NA"
"ada5f9e3-cca2-4274-a1b0-8e5919a25218",20,"DG Set","HSD","Cyclone Separator"
"262fcb37-1fd7-4809-9aa4-c4b81d41b71f",0.1,"Furnace","Electricity","Cyclone Separator"
"14a370b1-edd9-496c-8107-200f31619d56",62.5,"DG Set","LDO","Bag Filters"
"1d325753-3bda-4618-8433-a7ecc5822dee",180,"DG Set","HSD","Adequate Stack Height Only"
"0f3ba315-f129-482a-8d1c-0239f182d3fc",8,"Boiler","Other - dried ingesta","Multi-Cyclone Separator"
"b89a82d6-87d5-4c9a-ae36-73f5b697f865",0,"Not Applicable","NA","NA"
"bcc7bc42-a52c-4133-ac94-3868c217d570",6,"Boiler","Rice Husk","Scrubber"
"c21c88b6-b93a-4b87-9837-e0d7855a708a",180,"DG Set","Other - Diesel","Multi-Cyclone Separator"
"0748e0e6-c7f1-4c8e-95e7-e08b478fda8a",125,"Boiler","Other - Diesel","Cyclone Separator"
"5e16b951-b4ec-495b-b3e6-c27d2610d164",0,"Not Applicable","NA","NA"
"2fc787c9-22ab-498c-8fcd-6505752c7f67",180,"DG Set","Other - Diesel","Adequate Stack Height Only"
"f3fd08b9-d2a0-4124-a950-76cc8e7fd640",125,"DG Set","Other - Diesel","Adequate Stack Height Only"
