76977D7C-D842-4943-8DB0-F01AB1C471AD,0,Not Applicable,NA,NA,2016-07-22,2016-07-22,8F978AD0-C679-451E-8370-D2115BFBABBE
CBAA2B2F-F503-4FD2-8A91-24DA465D7960,0,Boiler,Furence Oil,Cyclone Separator,2016-07-22,2016-07-22,E142E0A1-FBF2-4171-92D2-223AC6AB854D
810D8C8A-277A-45FF-95B4-89A1091C5DF1,20,TG Set,HSD,Bag Filters,2016-07-22,2016-07-22,E81E797F-4B24-4C5F-A5A9-9CDF4FE108A4
42E88BCE-2F97-47B9-96D3-DC62B54F6FCC,150,DG Set,HSD,Adequate Stack Height Only,2016-07-22,2016-07-22,B1690776-16FA-494C-B808-DF5B95F6A769
B6E321AB-9684-4CC0-9B30-C3B59DEF9DE8,0,DG Set,Other - 000,Bag Filters,2016-07-25,2016-07-25,E5B8ED73-0A6A-440B-B486-DBFC050A835D
3C40AABF-5306-409F-A3B3-D288C24964C0,500,DG Set,HSD,Adequate Stack Height Only,2016-07-25,2016-07-25,664CD889-F72A-4231-9761-4D785C6CFC13
E0B109E2-D85A-40D8-BA10-2D3A1BC2B21E,9,Boiler,Other - WASTE WOOD,Multi-Cyclone Separator,2016-07-25,2016-07-25,EEB24624-826F-497F-87CD-F6E675A3716F
128545F9-9461-439F-B999-5BB6CF0907F6,0,Not Applicable,NA,NA,2016-07-25,2016-07-25,37B4ECCD-EEE6-467E-987E-2DC5B3E1EE28
B6BB7BCD-A133-400A-BDEB-5FCA8F7396F5,0,Not Applicable,NA,NA,2016-07-25,2016-07-25,5A28ED40-4CDA-477E-85A5-14C730902863
93C065E5-C75D-450D-985E-FF9B87E34969,0,DG Set,Other - 0000,Bag Filters,2016-07-25,2016-07-25,7A5B4905-B4C4-4F2D-8F9A-F34A7F7F0E82
63B06D9E-729E-4649-97A6-1A78C5D785EF,250,DG Set,HSD,Multi-Cyclone Separator,2016-07-25,2016-07-25,614100F0-49E6-489B-BE8B-C96D8384B01B
124124B3-88EF-4917-A7D4-85BF947E70F5,250,DG Set,HSD,Bag Filters,2016-07-26,2016-07-26,7FF61B15-81C8-410B-BE18-801AB322ED2C
E2CDE1A0-1B29-41E5-AB1F-8E4A94AE306F,0,Not Applicable,NA,NA,2016-07-26,2016-07-26,9A169728-744B-4B70-B553-CF02F4F44019
F8BA1643-5746-40A6-A993-19F5D7A9C1C2,0,Not Applicable,NA,NA,2016-07-26,2016-07-26,8F89E6EF-9FAD-4B71-882F-C08C0E001149
8BBAB9D4-A780-45D5-9B2C-12D689080B7B,0,Not Applicable,NA,NA,2016-07-26,2016-07-26,B0739596-829A-4D53-B5C5-6B0664A242C3
F9D56FEB-F21A-4E41-9B9E-D066CCEBB7CB,0,Not Applicable,NA,NA,2016-07-26,2016-07-26,311001DE-2AFD-4343-A8EA-6EA5FF6747D1
F191FA85-6664-40F3-881A-4D6FEF0CD883,200,Boiler,Other - Agro Based,Gravity Dust Settling Chamber,2016-07-27,2016-07-27,3B5D2E2D-6FB4-47F1-9022-21611C51B2FA
B6C5A94E-2F45-4FEA-A506-DE9AEB2B867E,4.8,DG Set,Furence Oil,Adequate Stack Height Only,2016-07-28,2016-07-28,9376429C-D55B-40CB-9CF7-FD4B6DD1E1A5
CAF30FD9-7966-4958-ADE0-657E519F22D5,0,Not Applicable,NA,NA,2016-07-29,2016-07-29,13D2970D-9154-4AFD-AC37-CE6BAAC24B49
8570492C-A51D-4247-B981-2B130874A56D,0,Not Applicable,NA,NA,2016-07-29,2016-07-29,21F7E022-BA1A-46D0-92C6-2C1DDE71506F
679A1863-042F-43E4-A418-79A0EDB93BFA,65,DG Set,HSD,Adequate Stack Height Only,2016-07-29,2016-07-29,82CCE1C9-580F-4B2D-810B-6B496CEDC960
592A68FA-E722-4AF8-9C99-D44B6B5475E2,5,Boiler,Other - wood,Multi-Cyclone Separator,2016-07-29,2016-07-29,9AAD1213-10FE-4DFC-A04E-190E8B397C53
0CAF70D3-7595-40EF-B70E-74187C9A4EAD,40,DG Set,Electricity,Adequate Stack Height Only,2016-07-30,2016-07-30,5B55C896-9856-4F7C-A5E5-A7E8331148E8
02F9D9EF-4DCF-4CD6-A54B-B108B109337E,0,Not Applicable,NA,NA,2016-07-30,2016-07-30,3C1B6FE0-707C-4354-BB76-CD7939A5F3B6
A4136CAD-F74C-42F6-AA26-A240948C0DFC,75,DG Set,HSD,Adequate Stack Height Only,2016-07-30,2016-07-30,4D35865C-A9F1-4E42-9896-1493480DCE1B
