96AF1AF3-FE82-4AE7-9374-B1553FAB87C0,FANS ,2500,Numbers / day,25-07-2016,25-07-2016,664CD889-F72A-4231-9761-4D785C6CFC13
CF41CD4D-81BC-48C3-B33B-5F1AC0449E49,HOT HEATER ,2500,Numbers / day,25-07-2016,25-07-2016,664CD889-F72A-4231-9761-4D785C6CFC13
D1F4DA35-5E4E-4CCA-9131-960C7790FCBE,Particle board and fibreboard including densified wood,3000,Numbers / day,25-07-2016,25-07-2016,EEB24624-826F-497F-87CD-F6E675A3716F
4E12E3D1-BA65-44F7-822E-78B6B1C622D3,Nut Bolt,8,TPD (Tons / day),25-07-2016,25-07-2016,37B4ECCD-EEE6-467E-987E-2DC5B3E1EE28
C7690F89-6F70-48DC-ACB8-DDFD9F81BD7E,BLANKET,8,TPD (Tons / day),25-07-2016,25-07-2016,5A28ED40-4CDA-477E-85A5-14C730902863
2394DC9A-EF73-4AEE-99A1-0DD7B04C2E8E,MARKING MACHINES,1,Numbers / day,26-07-2016,26-07-2016,9A169728-744B-4B70-B553-CF02F4F44019
0A38EC68-AB64-4028-9B7D-C318020FC09F,Fly Ash Bricks,12000,Numbers / day,26-07-2016,26-07-2016,8F89E6EF-9FAD-4B71-882F-C08C0E001149
CF72C671-0A04-4C04-A100-D7DF755F50BC,Door Fitting Items,3000,Numbers / day,26-07-2016,26-07-2016,B0739596-829A-4D53-B5C5-6B0664A242C3
03CC2ED2-D18B-4709-A9A1-BD6A8B61C18F,Bricks,12000,Numbers / day,26-07-2016,26-07-2016,311001DE-2AFD-4343-A8EA-6EA5FF6747D1
7C427651-AD1C-4FB8-8586-0E657F218CE4,High Pressure Decorative Laminates,1500,Numbers / day,29-07-2016,29-07-2016,9AAD1213-10FE-4DFC-A04E-190E8B397C53
FD0714BF-0239-4AEB-BA46-EAB00E50DCB8,PLASTICS MOLDED HOUSE HOLD AND PACKAGING ITEMS,35000,Numbers / day,01-08-2016,01-08-2016,2C1BC201-548F-4454-9799-0AB775C64AED
